iter	Logloss
0	0.6567238989
1	0.6247393197
2	0.5923368129
3	0.5658248429
4	0.5343253689
5	0.5096732183
6	0.4813710336
7	0.4598924715
8	0.4377605605
9	0.4197066789
10	0.4014995951
11	0.3840588217
12	0.3672979446
13	0.3506634824
14	0.3381761149
15	0.3250949356
16	0.3169865185
17	0.3027706006
18	0.2889440253
19	0.2807859291
20	0.2712184511
21	0.2638130619
22	0.2555840726
23	0.2481592971
24	0.2414618199
25	0.2349122562
26	0.2287669268
27	0.2248337099
28	0.2199658041
29	0.215225422
30	0.2108653784
31	0.2066514807
32	0.2026934692
33	0.1988781876
34	0.1951777852
35	0.1922792295
36	0.1886310381
37	0.1859117376
38	0.1826448885
39	0.1807837058
40	0.1776125893
41	0.17543062
42	0.1736238505
43	0.1720685626
44	0.1704359696
45	0.1689640246
46	0.1674005268
47	0.1657266444
48	0.1638440978
49	0.1624638703
50	0.1609902323
51	0.1596126266
52	0.158301015
53	0.1571629505
54	0.1561483646
55	0.1548620719
56	0.1535461456
57	0.1526569709
58	0.1517093829
59	0.1510142503
60	0.1502321643
61	0.1493510797
62	0.1483858583
63	0.1475752923
64	0.1469321759
65	0.1463035018
66	0.145705555
67	0.1448467931
68	0.1440509839
69	0.1435347769
70	0.1428396743
71	0.1423851167
72	0.1418249386
73	0.1412354714
74	0.140642109
75	0.1401012123
76	0.1395789527
77	0.1391678268
78	0.1388364182
79	0.1383888271
80	0.1380220468
81	0.1374648052
82	0.1369165974
83	0.1363532132
84	0.1360968925
85	0.1357391013
86	0.1354067488
87	0.1350882993
88	0.1347032115
89	0.1345150872
90	0.134203784
91	0.1337958342
92	0.1335296706
93	0.1330846263
94	0.1327855331
95	0.1323910069
96	0.132221265
97	0.1319842706
98	0.131674091
99	0.1315229263
100	0.1311295837
101	0.1309513472
102	0.1306875058
103	0.1304117689
104	0.1301015742
105	0.1299264839
106	0.1298642353
107	0.1295616363
108	0.1293227093
109	0.129124023
110	0.1289149693
111	0.1286476671
112	0.1284142983
113	0.128177154
114	0.127974153
115	0.1279098368
116	0.1277639008
117	0.1275841512
118	0.1274134505
119	0.1273230214
120	0.1271046043
121	0.1268297513
122	0.1265624191
123	0.1263733959
124	0.1261732713
125	0.1259245613
126	0.125715223
127	0.1254441079
128	0.1253220751
129	0.1251558838
130	0.1250161502
131	0.1248596671
132	0.1247676274
133	0.1245707089
134	0.124342726
135	0.1241399421
136	0.1239623874
137	0.1237666224
138	0.1235740411
139	0.1233949881
140	0.1233089262
141	0.1231241203
142	0.1229421085
143	0.1227294817
144	0.1225075963
145	0.122394455
146	0.1222211925
147	0.1221377898
148	0.1220044533
149	0.1218161791
150	0.1216644752
151	0.1215281723
152	0.1214198776
153	0.1212555366
154	0.121149991
155	0.1209356639
156	0.1207153665
157	0.1206072066
158	0.1204404461
159	0.1202857084
160	0.1201122585
161	0.1199105609
162	0.1197638757
163	0.1197602876
164	0.1196763606
165	0.1195718787
166	0.1194963788
167	0.1193625629
168	0.1192373464
169	0.1190165771
170	0.1189215486
171	0.1187918976
172	0.1186641867
173	0.1185165428
174	0.1183759327
175	0.1182638626
176	0.1181345187
177	0.1178946254
178	0.1176989878
179	0.1175876069
180	0.1174808852
181	0.1172718091
182	0.117187515
183	0.1170573246
184	0.1170051736
185	0.1168178133
186	0.1166324981
187	0.1165143454
188	0.116341023
189	0.1161588164
190	0.115985861
191	0.1158400972
192	0.1156929402
193	0.1155312959
194	0.1154924485
195	0.1154008059
196	0.1153560108
197	0.1151658191
198	0.1149905939
199	0.1148890035
200	0.114786282
201	0.1146771932
202	0.1145733031
203	0.1144189849
204	0.1142332651
205	0.1141846272
