iter	Passed	Remaining
0	141	141832
1	145	72586
2	148	49514
3	152	37931
4	155	30857
5	157	26128
6	160	22733
7	162	20192
8	165	18208
9	167	16629
10	170	15337
11	173	14256
12	175	13352
13	178	12568
14	181	11888
15	183	11298
16	185	10728
17	188	10270
18	190	9856
19	193	9486
20	196	9156
21	199	8857
22	201	8576
23	204	8318
24	207	8083
25	209	7866
26	212	7662
27	215	7464
28	217	7291
29	220	7127
30	223	6973
31	225	6829
32	228	6696
33	231	6574
34	234	6459
35	237	6355
36	240	6247
37	242	6144
38	245	6049
39	248	5954
40	250	5866
41	253	5781
42	256	5701
43	259	5628
44	261	5560
45	264	5495
46	268	5436
47	271	5376
48	274	5320
49	277	5268
50	280	5219
51	283	5169
52	286	5121
53	289	5077
54	292	5032
55	296	4994
56	299	4952
57	302	4912
58	305	4872
59	308	4835
60	311	4799
61	314	4763
62	317	4728
63	321	4695
64	324	4666
65	327	4635
66	330	4605
67	334	4578
68	337	4552
69	340	4525
70	344	4505
71	347	4481
72	351	4461
73	354	4437
74	357	4415
75	361	4395
76	364	4373
77	368	4358
78	372	4340
79	376	4325
80	379	4303
81	382	4284
82	386	4272
83	390	4261
84	394	4243
85	397	4226
86	401	4211
87	404	4194
88	408	4178
89	411	4162
90	415	4145
91	418	4132
92	422	4116
93	425	4102
94	429	4087
95	432	4073
96	436	4060
97	439	4048
98	443	4033
99	446	4019
100	450	4008
101	453	3994
102	457	3984
103	460	3970
104	464	3962
105	468	3948
106	471	3937
107	474	3923
108	478	3911
109	481	3898
110	485	3884
111	488	3872
112	491	3859
113	495	3849
114	498	3836
115	501	3823
116	505	3815
117	509	3806
118	512	3792
119	515	3780
120	518	3768
121	522	3757
122	525	3749
123	529	3737
124	532	3726
125	535	3715
126	538	3704
127	542	3696
128	546	3686
129	549	3675
130	552	3666
131	556	3656
132	559	3648
133	562	3637
134	566	3628
135	569	3617
136	572	3608
137	576	3600
138	579	3589
139	582	3579
140	586	3570
141	589	3559
142	592	3549
143	595	3539
144	598	3529
145	601	3520
146	605	3512
147	608	3503
148	611	3493
149	614	3484
150	618	3474
151	621	3465
152	624	3456
153	627	3447
154	630	3438
155	633	3429
156	637	3424
157	640	3415
158	644	3406
159	647	3397
160	650	3389
161	654	3386
162	657	3378
163	659	3363
164	662	3354
165	666	3346
166	669	3338
167	672	3329
168	675	3322
169	678	3313
170	682	3306
171	685	3297
172	688	3289
173	691	3280
174	694	3272
175	697	3264
176	700	3256
177	703	3248
178	706	3240
179	709	3232
180	712	3224
181	715	3217
182	718	3209
183	722	3202
184	725	3195
185	728	3188
186	731	3181
187	734	3173
188	737	3166
189	740	3158
190	744	3151
191	747	3143
192	750	3136
193	753	3128
194	756	3121
195	759	3114
196	762	3107
197	765	3100
198	768	3092
199	771	3085
200	774	3078
201	777	3071
202	780	3064
203	783	3057
204	786	3050
205	789	3044
206	792	3037
207	795	3030
208	798	3023
209	801	3016
210	805	3010
211	808	3003
